redni,vrijeme,zadatak,koncept,modul,tier,tezina,naslov,navigacija,reason_preporuke_koja_je_dovela,pokusaj_br,greska_studenta,opis_greske,verdikt,error_type,detail,xp_delta,xp_ukupno,level,streak,novi_bedzevi,preporuka_task,preporuka_koncept,preporuka_reason,trajanje_ms
19,2026-08-18T16:09:23.714Z,45,inner_join,3,medium,2,Ukupan broj narudžbi spojenih s kupcima,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,40,530,6,1,,84,right_join,weak_with_prereqs_met,256
20,2026-08-18T16:09:29.801Z,84,right_join,3,hard,2,Kupci bez ijedne narudžbe (RIGHT JOIN),CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,40,570,6,1,,30,group_by,weak_with_prereqs_met,195
21,2026-08-18T16:09:34.451Z,30,group_by,2,medium,1,Broj proizvoda po kategoriji,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,bez_group_by,zaboravljen GROUP BY uz agregat,Netočno,execution_error,"column ""products.category_id"" must appear in the GROUP BY clause or be used in an aggregate function ⏎ LINE 1: SELECT category_id, COUNT(*) AS broj_proizvoda FROM products... ⏎                ^",0,570,6,1,,30,group_by,weak_with_prereqs_met,192
22,2026-08-18T16:09:41.309Z,30,group_by,2,medium,1,Broj proizvoda po kategoriji,CTA „Sljedeći zadatak“,weak_with_prereqs_met,2,,,Točno,,,15,585,6,1,,57,self_join,weak_with_prereqs_met,205
23,2026-08-18T16:09:47.356Z,57,self_join,3,hard,3,Broj zaposlenika s neposrednim managerom (SELF JOIN),CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['count'], očekivani: ['total_with_manager']",0,585,6,1,,31,group_by,partial_continuation,199
24,2026-08-18T16:09:52.739Z,57,self_join,3,hard,3,Broj zaposlenika s neposrednim managerom (SELF JOIN),CTA „Sljedeći zadatak“,weak_with_prereqs_met,2,,,Točno,,,45,630,7,1,,51,multi_table_join,weak_with_prereqs_met,190
25,2026-08-18T16:09:58.826Z,51,multi_table_join,3,hard,3,Ukupan broj stavki narudžbi kroz tri JOIN-ana tablica,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,60,690,7,1,,31,group_by,partial_continuation,195
26,2026-08-18T16:10:03.456Z,31,group_by,2,medium,2,Broj kupaca po zemlji — TOP 5,CTA „Sljedeći zadatak“,partial_continuation,1,bez_group_by,zaboravljen GROUP BY uz agregat,Netočno,execution_error,"column ""customers.country"" must appear in the GROUP BY clause or be used in an aggregate function ⏎ LINE 1: SELECT country, COUNT(*) AS broj_kupaca FROM customers ORDER... ⏎                ^",0,690,7,1,,11,limit_offset,partial_continuation,266
27,2026-08-18T16:10:08.837Z,31,group_by,2,medium,2,Broj kupaca po zemlji — TOP 5,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,30,720,8,1,,32,group_by,partial_continuation,193
28,2026-08-18T16:10:14.896Z,32,group_by,2,medium,3,Ukupna količina prodanih proizvoda po proizvodu — TOP 10,CTA „Sljedeći zadatak“,partial_continuation,1,bez_group_by,zaboravljen GROUP BY uz agregat,Netočno,execution_error,"column ""order_items.product_id"" must appear in the GROUP BY clause or be used in an aggregate function ⏎ LINE 1: SELECT product_id, SUM(quantity) AS ukupna_kolicina, COUNT(*... ⏎                ^",0,720,8,1,,11,limit_offset,partial_continuation,203
29,2026-08-18T16:28:26.959Z,11,limit_offset,1,easy,2,Kategorije — druga stranica po 2 retka,nav „Zadatak“ → /next-task,partial_continuation,1,,,Točno,,,40,760,8,1,,32,group_by,partial_continuation,254
30,2026-08-18T16:28:33.237Z,32,group_by,2,medium,3,Ukupna količina prodanih proizvoda po proizvodu — TOP 10,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,45,805,9,1,,33,group_by,partial_continuation,249
31,2026-08-18T16:28:38.112Z,33,group_by,2,medium,3,Prosječna ocjena recenzija po proizvodu — sortiranje silazno,CTA „Sljedeći zadatak“,partial_continuation,1,bez_group_by,zaboravljen GROUP BY uz agregat,Netočno,execution_error,"column ""reviews.product_id"" must appear in the GROUP BY clause or be used in an aggregate function ⏎ LINE 1: SELECT product_id, ROUND(AVG(rating)::numeric, 2) AS prosjec... ⏎                ^",0,805,9,1,,33,group_by,partial_continuation,227
32,2026-08-18T17:44:54.935Z,33,group_by,2,medium,3,Prosječna ocjena recenzija po proizvodu — sortiranje silazno,nav „Zadatak“ → /next-task,,2,,,Točno,,,45,850,9,1,,34,group_by,partial_continuation,284
33,2026-08-18T17:45:14.284Z,34,group_by,2,medium,4,Ukupni iznos narudžbi po kupcu i statusu — multi-column GROUP BY,CTA „Sljedeći zadatak“,partial_continuation,1,bez_group_by,zaboravljen GROUP BY uz agregat,Netočno,execution_error,"column ""orders.customer_id"" must appear in the GROUP BY clause or be used in an aggregate function ⏎ LINE 1: SELECT customer_id, status, SUM(total_amount) AS ukupni_izno... ⏎                ^",0,850,9,1,,34,group_by,partial_continuation,249
34,2026-08-18T17:45:34.802Z,34,group_by,2,medium,4,Ukupni iznos narudžbi po kupcu i statusu — multi-column GROUP BY,CTA „Sljedeći zadatak“,partial_continuation,2,smjer_sortiranja,krivi smjer sortiranja (ASC/DESC zamijenjeni),Djelomično,row_mismatch,Row 0 differs,30,880,9,1,,34,group_by,weak_with_prereqs_met,235
35,2026-08-18T17:45:53.591Z,34,group_by,2,medium,4,Ukupni iznos narudžbi po kupcu i statusu — multi-column GROUP BY,CTA „Sljedeći zadatak“,partial_continuation,3,,,Točno,,,40,920,10,1,,56,right_join,partial_continuation,236
36,2026-08-18T17:46:12.870Z,56,right_join,3,hard,3,Dobavljači i broj proizvoda koje isporučuju (RIGHT JOIN),CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,980,10,1,,35,having_filter,weak_with_prereqs_met,222
37,2026-08-18T17:46:32.093Z,35,having_filter,2,medium,2,Kategorije s više od 6 proizvoda — HAVING,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,smjer_sortiranja,krivi smjer sortiranja (ASC/DESC zamijenjeni),Djelomično,row_mismatch,Row 0 differs,20,1000,11,1,,40,cross_join,partial_continuation,263
38,2026-08-18T17:46:56.513Z,35,having_filter,2,medium,2,Kategorije s više od 6 proizvoda — HAVING,CTA „Sljedeći zadatak“,weak_with_prereqs_met,2,,,Točno,,,30,1030,11,1,,24,agg_min_max,weak_with_prereqs_met,234
39,2026-08-18T17:47:15.768Z,24,agg_min_max,2,medium,1,Najjeftiniji i najskuplji proizvod,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,20,1050,11,1,,36,having_filter,partial_continuation,234
40,2026-08-18T17:47:35.024Z,36,having_filter,2,medium,3,Kupci s ukupno više od 10 narudžbi — WHERE + HAVING,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,1110,12,1,,27,agg_sum_avg,partial_continuation,218
41,2026-08-18T17:47:55.968Z,27,agg_sum_avg,2,medium,2,Prosječna cijena proizvoda,CTA „Sljedeći zadatak“,partial_continuation,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['round', 'ukupna_vrijednost'], očekivani: ['prosjecna_cijena', 'ukupna_vrijednost']",0,1110,12,1,,27,agg_sum_avg,partial_continuation,214
42,2026-08-18T17:48:14.716Z,27,agg_sum_avg,2,medium,2,Prosječna cijena proizvoda,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,30,1140,12,1,,28,agg_sum_avg,partial_continuation,211
43,2026-08-18T17:48:33.956Z,28,agg_sum_avg,2,medium,3,Ukupna potrošnja po kupcu — TOP 5 najvećih spenders,CTA „Sljedeći zadatak“,partial_continuation,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,execution_error,"column ""ukupna_potrosnja"" does not exist ⏎ LINE 1: ...nt), 2) FROM orders GROUP BY customer_id ORDER BY ukupna_pot... ⏎                                                              ^",0,1140,12,1,,12,limit_offset,partial_continuation,217
44,2026-08-18T17:48:52.686Z,28,agg_sum_avg,2,medium,3,Ukupna potrošnja po kupcu — TOP 5 najvećih spenders,CTA „Sljedeći zadatak“,partial_continuation,2,bez_group_by,zaboravljen GROUP BY uz agregat,Netočno,execution_error,"column ""orders.customer_id"" must appear in the GROUP BY clause or be used in an aggregate function ⏎ LINE 1: SELECT customer_id, ROUND(SUM(total_amount), 2) AS ukupna_po... ⏎                ^",0,1140,12,1,,12,limit_offset,partial_continuation,237
45,2026-08-18T17:49:13.254Z,28,agg_sum_avg,2,medium,3,Ukupna potrošnja po kupcu — TOP 5 najvećih spenders,CTA „Sljedeći zadatak“,partial_continuation,3,,,Točno,,,30,1170,12,1,,12,limit_offset,partial_continuation,256
46,2026-08-18T17:49:32.478Z,12,limit_offset,1,easy,3,Dobavljači — prva stranica paginacije s ispravnim OFFSET-om,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,1230,13,1,,29,agg_sum_avg,partial_continuation,221
47,2026-08-18T17:49:51.709Z,29,agg_sum_avg,2,medium,4,Mjesečni prihod po kategoriji proizvoda u 2025,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,80,1310,14,1,,3784,explain_plan,weak_with_prereqs_met,260
48,2026-08-18T17:50:12.868Z,3784,explain_plan,6,hard,3,Selektivan filtar mijenja strategiju spoja u Nested Loop,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,cast_ubija_indeks,CAST/aritmetika nad stupcem ponistava indeks,Netočno,plan_mismatch,"Rezultat je točan, ali upit ne koristi indeks, a rješenje ga koristi; strategija spoja je Hash Join, a traži se Nested Loop.",0,1350,14,1,explorer,3784,explain_plan,weak_with_prereqs_met,260
49,2026-08-18T17:50:35.500Z,3784,explain_plan,6,hard,3,Selektivan filtar mijenja strategiju spoja u Nested Loop,CTA „Sljedeći zadatak“,weak_with_prereqs_met,2,,,Točno,,,45,1395,14,1,,25,agg_min_max,partial_continuation,262
50,2026-08-18T17:50:54.736Z,25,agg_min_max,2,medium,2,Najraniji i najkasniji datum narudžbe po statusu,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,40,1435,15,1,,40,cross_join,partial_continuation,222
51,2026-08-18T17:51:14.006Z,40,cross_join,3,medium,3,Provjera kardinalnosti: CROSS JOIN kategorija i statusa narudžbi,CTA „Sljedeći zadatak“,partial_continuation,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['category_count', 'count', 'status_count'], očekivani: ['category_count', 'status_count', 'total_combinations']",0,1435,15,1,,40,cross_join,weak_with_prereqs_met,233
52,2026-08-18T17:51:34.579Z,40,cross_join,3,medium,3,Provjera kardinalnosti: CROSS JOIN kategorija i statusa narudžbi,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,45,1480,15,1,,58,self_join,partial_continuation,206
53,2026-08-18T17:51:53.898Z,58,self_join,3,hard,4,Zaposlenici u drugom odjelu od svog managera,CTA „Sljedeći zadatak“,partial_continuation,1,krivi_limit,krivo procitan broj redaka u LIMIT-u,Djelomično,row_mismatch,Row count mismatch: actual=4 vs expected=2,40,1520,16,1,,58,self_join,weak_with_prereqs_met,234
54,2026-08-18T17:52:12.707Z,58,self_join,3,hard,4,Zaposlenici u drugom odjelu od svog managera,CTA „Sljedeći zadatak“,partial_continuation,2,tipfeler_stupca,tipfeler u nazivu stupca,Netočno,execution_error,"column e.firstname does not exist ⏎ LINE 1: SELECT e.firstname || ' ' || e.last_name AS employee_name, ⏎                ^ ⏎ HINT:  Perhaps you meant to reference the column ""e.first_name"".",0,1520,16,1,,46,inner_join,partial_continuation,227
55,2026-08-18T17:52:33.294Z,58,self_join,3,hard,4,Zaposlenici u drugom odjelu od svog managera,CTA „Sljedeći zadatak“,partial_continuation,3,,,Točno,,,40,1560,16,1,,59,self_join,partial_continuation,234
56,2026-08-18T17:52:52.576Z,59,self_join,3,hard,5,Dvostruki SELF JOIN: zaposlenici s dva nivoa nadređenih,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,100,1660,17,1,,67,insert,partial_continuation,233
57,2026-08-18T17:53:11.737Z,67,insert,4,medium,2,Unos novog kupca s eksplicitnom listom stupaca,CTA „Sljedeći zadatak“,partial_continuation,1,bez_returning,DML bez RETURNING,Netočno,empty_result,"Prazan rezultat, očekivano 1 redova",0,1660,17,1,,67,insert,partial_continuation,225
58,2026-08-18T17:53:32.283Z,67,insert,4,medium,2,Unos novog kupca s eksplicitnom listom stupaca,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,30,1690,17,1,,85,insert,partial_continuation,219
59,2026-08-18T17:53:51.512Z,85,insert,4,medium,3,Unos dvaju dobavljača jednom naredbom (multi-row VALUES),CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,1750,18,1,,69,update,partial_continuation,227
60,2026-08-18T17:54:10.764Z,69,update,4,medium,3,Sniženje cijene i povećanje zalihe za proizvod id=1,CTA „Sljedeći zadatak“,partial_continuation,1,update_bez_where,UPDATE/DELETE bez WHERE,Djelomično,row_mismatch,Row count mismatch: actual=100 vs expected=1,30,1780,18,1,,69,update,partial_continuation,222
61,2026-08-18T17:54:31.295Z,69,update,4,medium,3,Sniženje cijene i povećanje zalihe za proizvod id=1,CTA „Sljedeći zadatak“,partial_continuation,2,bez_returning,DML bez RETURNING,Netočno,empty_result,"Prazan rezultat, očekivano 1 redova",0,1780,18,1,,69,update,weak_with_prereqs_met,261
62,2026-08-18T17:54:49.968Z,69,update,4,medium,3,Sniženje cijene i povećanje zalihe za proizvod id=1,CTA „Sljedeći zadatak“,partial_continuation,3,,,Točno,,,30,1810,19,1,,70,update,partial_continuation,206
63,2026-08-18T17:55:09.090Z,70,update,4,medium,3,Unapređenje zaposlenika: ažuriranje odjela i plaće u jednom iskazu,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,1870,19,1,,64,delete,partial_continuation,213
64,2026-08-18T17:55:28.205Z,64,delete,4,medium,3,Brisanje recenzije po ID-u s RETURNING provjerom,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,1930,20,1,,78,scalar_subquery,partial_continuation,222
65,2026-08-18T17:55:49.261Z,78,scalar_subquery,5,hard,3,Broj narudžbi kao referentni stupac u SELECT klauzi,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,1990,20,1,,72,exists_subquery,weak_with_prereqs_met,241
66,2026-08-18T17:56:08.516Z,72,exists_subquery,5,hard,2,Dobavljači koji imaju barem jedan proizvod — EXISTS (SELECT 1),CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,40,2030,21,1,,73,exists_subquery,partial_continuation,312
67,2026-08-18T17:56:45.239Z,73,exists_subquery,5,hard,4,Kupci koji nemaju ni jednu narudžbu — NOT EXISTS vs NOT IN NULL zamka,nav „Zadatak“ → /next-task,,1,,,Točno,,,80,2135,22,1,null_ninja,48,left_join,weak_with_prereqs_met,246
68,2026-08-18T17:57:04.489Z,48,left_join,3,hard,2,Broj kupaca bez ijedne narudžbe,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['count'], očekivani: ['customers_without_orders']",0,2135,22,1,,3785,explain_plan,partial_continuation,228
69,2026-08-18T17:57:23.146Z,48,left_join,3,hard,2,Broj kupaca bez ijedne narudžbe,CTA „Sljedeći zadatak“,weak_with_prereqs_met,2,,,Točno,,,30,2165,22,1,,74,in_subquery,weak_with_prereqs_met,222
70,2026-08-18T17:57:44.168Z,74,in_subquery,5,hard,2,Broj kupaca koji su napravili barem jednu narudžbu (IN s podupitom),CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,40,2205,23,1,,49,left_join,partial_continuation,220
71,2026-08-18T17:58:03.341Z,49,left_join,3,hard,3,Kupci bez ijedne narudžbe — Anti-join uzorak,CTA „Sljedeći zadatak“,partial_continuation,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['count'], očekivani: ['customers_without_orders']",0,2205,23,1,,3785,explain_plan,partial_continuation,239
72,2026-08-18T17:58:21.931Z,49,left_join,3,hard,3,Kupci bez ijedne narudžbe — Anti-join uzorak,CTA „Sljedeći zadatak“,partial_continuation,2,tipfeler_stupca,tipfeler u nazivu stupca,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['customerswithout_orders'], očekivani: ['customers_without_orders']",0,2205,23,1,,3785,explain_plan,partial_continuation,231
73,2026-08-18T17:58:42.508Z,49,left_join,3,hard,3,Kupci bez ijedne narudžbe — Anti-join uzorak,CTA „Sljedeći zadatak“,partial_continuation,3,,,Točno,,,30,2235,23,1,,3785,explain_plan,partial_continuation,224
74,2026-08-18T17:59:01.649Z,3785,explain_plan,6,hard,4,Aritmetika u uvjetu spoja vraća plan na Hash Join,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,80,2315,24,1,,81,index_usage,weak_with_prereqs_met,250
75,2026-08-18T17:59:20.844Z,81,index_usage,6,hard,3,Narudžbe kupca — index-friendly lookup vs. function wrapper anti-pattern,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,explain_prefiks,predan EXPLAIN umjesto samog upita,Netočno,explain_submitted,"Predaj obični upit, bez EXPLAIN. Plan izvedbe provjerava se automatski; EXPLAIN slobodno koristi kroz Pokreni dok istražuješ.",0,2315,24,1,,81,index_usage,weak_with_prereqs_met,202
76,2026-08-18T17:59:39.729Z,81,index_usage,6,hard,3,Narudžbe kupca — index-friendly lookup vs. function wrapper anti-pattern,CTA „Sljedeći zadatak“,weak_with_prereqs_met,2,,,Točno,,,45,2360,24,1,,3782,index_usage,partial_continuation,254
77,2026-08-18T18:00:00.796Z,3782,index_usage,6,hard,3,Stavke narudžbe — indeks na order_id vs. CAST anti-pattern,CTA „Sljedeći zadatak“,partial_continuation,1,cast_ubija_indeks,CAST/aritmetika nad stupcem ponistava indeks,Netočno,plan_mismatch,"Rezultat je točan, ali upit ne koristi indeks, a rješenje ga koristi.",0,2360,24,1,,3782,index_usage,weak_with_prereqs_met,258
78,2026-08-18T18:00:19.499Z,3782,index_usage,6,hard,3,Stavke narudžbe — indeks na order_id vs. CAST anti-pattern,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,45,2405,25,1,,3783,index_usage,partial_continuation,244
79,2026-08-18T18:00:38.746Z,3783,index_usage,6,hard,4,Recenzije proizvoda — aritmetika nad kolonom poništava indeks,CTA „Sljedeći zadatak“,partial_continuation,1,explain_prefiks,predan EXPLAIN umjesto samog upita,Netočno,explain_submitted,"Predaj obični upit, bez EXPLAIN. Plan izvedbe provjerava se automatski; EXPLAIN slobodno koristi kroz Pokreni dok istražuješ.",0,2405,25,1,,3783,index_usage,partial_continuation,198
80,2026-08-18T18:00:59.366Z,3783,index_usage,6,hard,4,Recenzije proizvoda — aritmetika nad kolonom poništava indeks,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,60,2465,25,1,,2,null_handling,partial_continuation,309
81,2026-08-18T18:01:18.660Z,2,null_handling,0,hard,3,Prikaz zaposlenika i njihovog nadređenog s fallback vrijednošću,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,2575,26,1,join_master,41,full_outer_join,weak_with_prereqs_met,252
82,2026-08-18T18:01:37.959Z,41,full_outer_join,3,hard,3,Prebrojavanje nepovezanih redova s FULL OUTER JOIN-om,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,60,2635,27,1,,42,full_outer_join,partial_continuation,283
83,2026-08-18T18:01:58.964Z,42,full_outer_join,3,hard,4,Dvostruki anti-join: kupci bez narudžbi i narudžbe bez kupca,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,80,2715,28,1,,75,in_subquery,partial_continuation,233
84,2026-08-18T18:02:18.177Z,75,in_subquery,5,hard,3,Broj kupaca bez narudžbi — NOT IN s IS NOT NULL zaštitom,CTA „Sljedeći zadatak“,partial_continuation,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['count'], očekivani: ['customers_without_orders']",0,2715,28,1,,75,in_subquery,partial_continuation,230
85,2026-08-18T18:02:36.871Z,75,in_subquery,5,hard,3,Broj kupaca bez narudžbi — NOT IN s IS NOT NULL zaštitom,CTA „Sljedeći zadatak“,partial_continuation,2,tipfeler_stupca,tipfeler u nazivu stupca,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['customerswithout_orders'], očekivani: ['customers_without_orders']",0,2715,28,1,,75,in_subquery,weak_with_prereqs_met,203
86,2026-08-18T18:02:57.400Z,75,in_subquery,5,hard,3,Broj kupaca bez narudžbi — NOT IN s IS NOT NULL zaštitom,CTA „Sljedeći zadatak“,partial_continuation,3,,,Točno,,,30,2745,28,1,,76,in_subquery,partial_continuation,201
87,2026-08-18T18:03:16.668Z,76,in_subquery,5,hard,4,Kategorije s nadprosječnim brojem proizvoda (IN + GROUP BY + ugniježđeni podupit),CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,80,2825,29,1,,39,cross_join,repeat_practice,263
88,2026-08-18T18:03:51.975Z,7,from_clause,1,easy,1,"Dohvati zaposlenike — ime, prezime i odjel",klik po konceptu u Modulima (from_clause),,1,,,Točno,,,20,2845,29,1,,39,cross_join,repeat_practice,203
89,2026-08-18T18:04:11.615Z,8,from_clause,1,easy,1,Dohvati podatke o dobavljačima,klik po konceptu u Modulima (from_clause),,1,,,Točno,,,20,2865,29,1,,39,cross_join,repeat_practice,214
90,2026-08-18T18:04:31.077Z,9,from_clause,1,easy,2,"Dohvati naziv, zemlju i ocjenu dobavljača",klik po konceptu u Modulima (from_clause),,1,,,Točno,,,40,2905,30,1,,39,cross_join,repeat_practice,216
91,2026-08-18T18:04:50.718Z,13,order_by,1,easy,2,Dostupni proizvodi sortirani po ID-u — WHERE prije ORDER BY,klik po konceptu u Modulima (order_by),,1,smjer_sortiranja,krivi smjer sortiranja (ASC/DESC zamijenjeni),Djelomično,row_mismatch,Row 0 differs,20,2925,30,1,,39,cross_join,repeat_practice,224
92,2026-08-18T18:05:12.098Z,13,order_by,1,easy,2,Dostupni proizvodi sortirani po ID-u — WHERE prije ORDER BY,klik po konceptu u Modulima (order_by),,2,bez_order_by,zaboravljen ORDER BY,Točno,,,30,2955,30,1,,39,cross_join,repeat_practice,1058
