id,vrijeme,koncept,modul,p_l,tocka_u_krivulji,attempt_id,zadatak,attempt_tocan,attempt_error_type,attempt_number
7695,2026-08-18 16:09:23.574307+00,inner_join,3,0.8786391522587842,2,492759,45,t,,1
7696,2026-08-18 16:09:23.574307+00,column_alias,0,0.7283813747228381,1,492759,45,t,,1
7697,2026-08-18 16:09:29.686374+00,order_by,1,0.9998095163413638,10,492760,84,t,,1
7698,2026-08-18 16:09:29.686374+00,right_join,3,0.3781818181818182,1,492760,84,t,,1
7699,2026-08-18 16:09:29.686374+00,column_alias,0,0.9355931439558954,2,492760,84,t,,1
7700,2026-08-18 16:09:34.348993+00,order_by,1,0.9987519420178992,11,492761,30,f,execution_error,1
7701,2026-08-18 16:09:34.348993+00,group_by,2,0.21726618705035974,1,492761,30,f,execution_error,1
7702,2026-08-18 16:09:34.348993+00,agg_count,2,0.21726618705035974,1,492761,30,f,execution_error,1
7703,2026-08-18 16:09:41.195294+00,order_by,1,0.9997623816923666,12,492762,30,t,,2
7704,2026-08-18 16:09:41.195294+00,group_by,2,0.6442991418062934,2,492762,30,t,,2
7705,2026-08-18 16:09:41.195294+00,agg_count,2,0.6442991418062934,2,492762,30,t,,2
7706,2026-08-18 16:09:47.255368+00,inner_join,3,0.5800494541945601,3,492763,57,f,wrong_columns,1
7707,2026-08-18 16:09:47.255368+00,self_join,3,0.10782608695652175,1,492763,57,f,wrong_columns,1
7708,2026-08-18 16:09:52.634743+00,inner_join,3,0.8891283016840057,4,492764,57,t,,2
7709,2026-08-18 16:09:52.634743+00,self_join,3,0.5560576923076923,2,492764,57,t,,2
7710,2026-08-18 16:09:58.721788+00,inner_join,3,0.9784293634363836,5,492765,51,t,,1
7711,2026-08-18 16:09:58.721788+00,multi_table_join,3,0.3781818181818182,1,492765,51,t,,1
7712,2026-08-18 16:10:03.323916+00,limit_offset,1,0.7447113793464978,4,492766,31,f,execution_error,1
7713,2026-08-18 16:10:03.323916+00,group_by,2,0.3476943253940374,3,492766,31,f,execution_error,1
7714,2026-08-18 16:10:03.323916+00,agg_count,2,0.3476943253940374,3,492766,31,f,execution_error,1
7715,2026-08-18 16:10:08.724308+00,limit_offset,1,0.9403496715656388,5,492767,31,t,,2
7716,2026-08-18 16:10:08.724308+00,group_by,2,0.7646093891129054,4,492767,31,t,,2
7717,2026-08-18 16:10:08.724308+00,agg_count,2,0.7646093891129054,4,492767,31,t,,2
7718,2026-08-18 16:10:14.794016+00,limit_offset,1,0.7389552414246285,6,492768,32,f,execution_error,1
7719,2026-08-18 16:10:14.794016+00,group_by,2,0.43102299833727253,5,492768,32,f,execution_error,1
7720,2026-08-18 16:10:14.794016+00,agg_count,2,0.43102299833727253,5,492768,32,f,execution_error,1
7721,2026-08-18 16:10:14.794016+00,agg_sum_avg,2,0.21726618705035974,1,492768,32,f,execution_error,1
7722,2026-08-18 16:28:26.789384+00,select_basic,1,0.9999072847408662,12,492769,11,t,,1
7723,2026-08-18 16:28:26.789384+00,order_by,1,0.999954793042417,13,492769,11,t,,1
7724,2026-08-18 16:28:26.789384+00,limit_offset,1,0.9386889920413237,7,492769,11,t,,1
7725,2026-08-18 16:28:33.07579+00,limit_offset,1,0.9877925106270709,8,492770,32,t,,2
7726,2026-08-18 16:28:33.07579+00,group_by,2,0.8185501312849486,6,492770,32,t,,2
7727,2026-08-18 16:28:33.07579+00,agg_count,2,0.8185501312849486,6,492770,32,t,,2
7728,2026-08-18 16:28:33.07579+00,agg_sum_avg,2,0.6442991418062934,2,492770,32,t,,2
7729,2026-08-18 16:28:37.943277+00,limit_offset,1,0.9273190825336759,9,492771,33,f,execution_error,1
7730,2026-08-18 16:28:37.943277+00,group_by,2,0.4884568729459635,7,492771,33,f,execution_error,1
7731,2026-08-18 16:28:37.943277+00,agg_count,2,0.4884568729459635,7,492771,33,f,execution_error,1
7732,2026-08-18 16:28:37.943277+00,agg_sum_avg,2,0.3476943253940374,3,492771,33,f,execution_error,1
7733,2026-08-18 17:44:54.75489+00,limit_offset,1,0.9854021516132138,10,492772,33,t,,2
7734,2026-08-18 17:44:54.75489+00,group_by,2,0.8489686136990929,8,492772,33,t,,2
7735,2026-08-18 17:44:54.75489+00,agg_count,2,0.8489686136990929,8,492772,33,t,,2
7736,2026-08-18 17:44:54.75489+00,agg_sum_avg,2,0.7646093891129054,4,492772,33,t,,2
7737,2026-08-18 17:45:14.1076+00,order_by,1,0.9997034416203163,14,492773,34,f,execution_error,1
7738,2026-08-18 17:45:14.1076+00,limit_offset,1,0.9146377507780308,11,492773,34,f,execution_error,1
7739,2026-08-18 17:45:14.1076+00,group_by,2,0.5301421280398955,9,492773,34,f,execution_error,1
7740,2026-08-18 17:45:14.1076+00,agg_sum_avg,2,0.43102299833727253,5,492773,34,f,execution_error,1
7741,2026-08-18 17:45:34.638498+00,order_by,1,0.9980586573004311,15,492774,34,f,row_mismatch,2
7742,2026-08-18 17:45:34.638498+00,limit_offset,1,0.6733413763132078,12,492774,34,f,row_mismatch,2
7743,2026-08-18 17:45:34.638498+00,group_by,2,0.29888393512611955,10,492774,34,f,row_mismatch,2
7744,2026-08-18 17:45:34.638498+00,agg_sum_avg,2,0.2692011919037278,6,492774,34,f,row_mismatch,2
7745,2026-08-18 17:45:53.419491+00,order_by,1,0.9996302000314141,16,492775,34,t,,3
7746,2026-08-18 17:45:53.419491+00,limit_offset,1,0.9184679759641036,13,492775,34,t,,3
7747,2026-08-18 17:45:53.419491+00,group_by,2,0.725871385116051,11,492775,34,t,,3
7748,2026-08-18 17:45:53.419491+00,agg_sum_avg,2,0.6989816750437674,7,492775,34,t,,3
7749,2026-08-18 17:46:12.69295+00,group_by,2,0.9380596513739664,12,492776,56,t,,1
7750,2026-08-18 17:46:12.69295+00,right_join,3,0.8541232227488151,2,492776,56,t,,1
7751,2026-08-18 17:46:31.89297+00,group_by,2,0.7234771994689624,13,492777,35,f,row_mismatch,1
7752,2026-08-18 17:46:31.89297+00,having_filter,2,0.21726618705035974,1,492777,35,f,row_mismatch,1
7753,2026-08-18 17:46:31.89297+00,agg_count,2,0.5301421280398955,9,492777,35,f,row_mismatch,1
7754,2026-08-18 17:46:56.365736+00,group_by,2,0.9373704470579488,14,492778,35,t,,2
7755,2026-08-18 17:46:56.365736+00,having_filter,2,0.6442991418062934,2,492778,35,t,,2
7756,2026-08-18 17:46:56.365736+00,agg_count,2,0.8683639875731722,10,492778,35,t,,2
7757,2026-08-18 17:47:15.622534+00,agg_min_max,2,0.5540983606557377,1,492779,24,t,,1
7758,2026-08-18 17:47:34.867306+00,where_filter,1,0.9999637616683217,11,492780,36,t,,1
7759,2026-08-18 17:47:34.867306+00,group_by,2,0.9882957198277608,15,492780,36,t,,1
7760,2026-08-18 17:47:34.867306+00,having_filter,2,0.9125786242482832,3,492780,36,t,,1
7761,2026-08-18 17:47:34.867306+00,agg_count,2,0.9739287775289813,11,492780,36,t,,1
7762,2026-08-18 17:47:55.817176+00,agg_sum_avg,2,0.3799685402721751,8,492781,27,f,wrong_columns,1
7763,2026-08-18 17:48:14.573809+00,agg_sum_avg,2,0.7871036010292091,9,492782,27,t,,2
7764,2026-08-18 17:48:33.804481+00,limit_offset,1,0.6820512560639428,14,492783,28,f,execution_error,1
7765,2026-08-18 17:48:33.804481+00,group_by,2,0.9307650256594648,16,492783,28,f,execution_error,1
7766,2026-08-18 17:48:33.804481+00,agg_sum_avg,2,0.45285678618482783,10,492783,28,f,execution_error,1
7767,2026-08-18 17:48:52.539933+00,limit_offset,1,0.4303465046142776,15,492784,28,f,execution_error,2
7768,2026-08-18 17:48:52.539933+00,group_by,2,0.7015421940010589,17,492784,28,f,execution_error,2
7769,2026-08-18 17:48:52.539933+00,agg_sum_avg,2,0.27500729641339133,11,492784,28,f,execution_error,2
7770,2026-08-18 17:49:13.103002+00,limit_offset,1,0.8148181188991035,16,492785,28,t,,3
7771,2026-08-18 17:49:13.103002+00,group_by,2,0.930900502060881,18,492785,28,t,,3
7772,2026-08-18 17:49:13.103002+00,agg_sum_avg,2,0.7044654187665628,12,492785,28,t,,3
7773,2026-08-18 17:49:32.331901+00,select_basic,1,0.9999823627543909,13,492786,12,t,,1
7774,2026-08-18 17:49:32.331901+00,order_by,1,0.9999296386656006,17,492786,12,t,,1
7775,2026-08-18 17:49:32.331901+00,limit_offset,1,0.959284227334389,17,492786,12,t,,1
7776,2026-08-18 17:49:51.532527+00,where_filter,1,0.9999931066571609,12,492787,29,t,,1
7777,2026-08-18 17:49:51.532527+00,limit_offset,1,0.9920184864616435,18,492787,29,t,,1
7778,2026-08-18 17:49:51.532527+00,group_by,2,0.9870179360663569,19,492787,29,t,,1
7779,2026-08-18 17:49:51.532527+00,agg_sum_avg,2,0.9317792910528271,13,492787,29,t,,1
7780,2026-08-18 17:49:51.532527+00,multi_table_join,3,0.8541232227488151,2,492787,29,t,,1
7781,2026-08-18 17:50:12.669186+00,where_filter,1,0.9999547650491112,13,492788,3784,f,plan_mismatch,1
7782,2026-08-18 17:50:12.669186+00,order_by,1,0.999538525678827,18,492788,3784,f,plan_mismatch,1
7783,2026-08-18 17:50:12.669186+00,inner_join,3,0.8800584370375943,6,492788,3784,f,plan_mismatch,1
7784,2026-08-18 17:50:12.669186+00,explain_plan,6,0.10782608695652175,1,492788,3784,f,plan_mismatch,1
7785,2026-08-18 17:50:35.337575+00,where_filter,1,0.9999913952421808,14,492789,3784,t,,2
7786,2026-08-18 17:50:35.337575+00,order_by,1,0.9999121900478579,19,492789,3784,t,,2
7787,2026-08-18 17:50:35.337575+00,inner_join,3,0.9764832253694429,7,492789,3784,t,,2
7788,2026-08-18 17:50:35.337575+00,explain_plan,6,0.5560576923076923,2,492789,3784,t,,2
7789,2026-08-18 17:50:54.587096+00,order_by,1,0.9999832959517733,20,492790,25,t,,1
7790,2026-08-18 17:50:54.587096+00,group_by,2,0.997668536359544,20,492790,25,t,,1
7791,2026-08-18 17:50:54.587096+00,agg_min_max,2,0.8786391522587842,2,492790,25,t,,1
7792,2026-08-18 17:51:13.847986+00,select_basic,1,0.9998842726699978,14,492791,40,f,wrong_columns,1
7793,2026-08-18 17:51:13.847986+00,cross_join,3,0.2554337763177542,3,492791,40,f,wrong_columns,1
7794,2026-08-18 17:51:34.431405+00,select_basic,1,0.9999779847937498,15,492792,40,t,,2
7795,2026-08-18 17:51:34.431405+00,cross_join,3,0.7701761681381486,4,492792,40,t,,2
7796,2026-08-18 17:51:53.722351+00,where_filter,1,0.9999435353459284,15,492793,58,f,row_mismatch,1
7797,2026-08-18 17:51:53.722351+00,inner_join,3,0.870766695793019,8,492793,58,f,row_mismatch,1
7798,2026-08-18 17:51:53.722351+00,self_join,3,0.2554337763177542,3,492793,58,f,row_mismatch,1
7799,2026-08-18 17:52:12.561212+00,where_filter,1,0.999629625854432,16,492794,58,f,execution_error,2
7800,2026-08-18 17:52:12.561212+00,inner_join,3,0.5657467392872613,9,492794,58,f,execution_error,2
7801,2026-08-18 17:52:12.561212+00,self_join,3,0.1486763961958721,4,492794,58,f,execution_error,2
7802,2026-08-18 17:52:33.143476+00,where_filter,1,0.999929529388256,17,492795,58,t,,3
7803,2026-08-18 17:52:33.143476+00,inner_join,3,0.8834263868240695,10,492795,58,t,,3
7804,2026-08-18 17:52:33.143476+00,self_join,3,0.6377471350827433,5,492795,58,t,,3
7805,2026-08-18 17:52:52.400641+00,inner_join,3,0.9772094172042574,11,492796,59,t,,1
7806,2026-08-18 17:52:52.400641+00,self_join,3,0.9436241150299581,6,492796,59,t,,1
7807,2026-08-18 17:52:52.400641+00,column_alias,0,0.9871457682091517,3,492796,59,t,,1
7808,2026-08-18 17:53:11.586409+00,insert,4,0.33060109289617484,1,492797,67,f,empty_result,1
7809,2026-08-18 17:53:32.132936+00,insert,4,0.7515500956133743,2,492798,67,t,,2
7810,2026-08-18 17:53:51.36243+00,insert,4,0.9423005864048358,3,492799,85,t,,1
7811,2026-08-18 17:54:10.603187+00,where_filter,1,0.9995378093913398,18,492800,69,f,row_mismatch,1
7812,2026-08-18 17:54:10.603187+00,update,4,0.30755767700875103,2,492800,69,f,row_mismatch,1
7813,2026-08-18 17:54:31.136279+00,where_filter,1,0.9969785696234053,19,492801,69,f,empty_result,2
7814,2026-08-18 17:54:31.136279+00,update,4,0.24208005660017962,3,492801,69,f,empty_result,2
7815,2026-08-18 17:54:49.805345+00,where_filter,1,0.9994240039801546,20,492802,69,t,,3
7816,2026-08-18 17:54:49.805345+00,update,4,0.6717682810960188,4,492802,69,t,,3
7817,2026-08-18 17:55:08.917823+00,where_filter,1,0.9998903895608247,21,492803,70,t,,1
7818,2026-08-18 17:55:08.917823+00,update,4,0.9216441160466555,5,492803,70,t,,1
7819,2026-08-18 17:55:28.051449+00,where_filter,1,0.9999791485237314,22,492804,64,t,,1
7820,2026-08-18 17:55:28.051449+00,delete,4,0.8786391522587842,2,492804,64,t,,1
7821,2026-08-18 17:55:49.072258+00,select_basic,1,0.9999958122577568,16,492805,78,t,,1
7822,2026-08-18 17:55:49.072258+00,order_by,1,0.9999968225608687,21,492805,78,t,,1
7823,2026-08-18 17:55:49.072258+00,scalar_subquery,5,0.8786391522587842,2,492805,78,t,,1
7824,2026-08-18 17:56:08.311129+00,where_filter,1,0.9999960336263487,23,492806,72,t,,1
7825,2026-08-18 17:56:08.311129+00,exists_subquery,5,0.5540983606557377,1,492806,72,t,,1
7826,2026-08-18 17:56:08.311129+00,correlated_subquery,5,0.3781818181818182,1,492806,72,t,,1
7827,2026-08-18 17:56:45.067753+00,exists_subquery,5,0.8786391522587842,2,492807,73,t,,1
7828,2026-08-18 17:56:45.067753+00,correlated_subquery,5,0.8541232227488151,2,492807,73,t,,1
7829,2026-08-18 17:56:45.067753+00,null_handling,0,0.8786391522587842,2,492807,73,t,,1
7830,2026-08-18 17:57:04.32538+00,left_join,3,0.10782608695652175,1,492808,48,f,wrong_columns,1
7831,2026-08-18 17:57:04.32538+00,null_handling,0,0.5800494541945601,3,492808,48,f,wrong_columns,1
7832,2026-08-18 17:57:22.982665+00,left_join,3,0.5560576923076923,2,492809,48,t,,2
7833,2026-08-18 17:57:22.982665+00,null_handling,0,0.8891283016840057,4,492809,48,t,,2
7834,2026-08-18 17:57:44.009057+00,where_filter,1,0.9999992455245718,24,492810,74,t,,1
7835,2026-08-18 17:57:44.009057+00,in_subquery,5,0.5540983606557377,1,492810,74,t,,1
7836,2026-08-18 17:58:03.151338+00,left_join,3,0.2554337763177542,3,492811,49,f,wrong_columns,1
7837,2026-08-18 17:58:03.151338+00,null_handling,0,0.6004852683667198,5,492811,49,f,wrong_columns,1
7838,2026-08-18 17:58:21.790465+00,left_join,3,0.1486763961958721,4,492812,49,f,wrong_columns,2
7839,2026-08-18 17:58:21.790465+00,null_handling,0,0.326531059299151,6,492812,49,f,wrong_columns,2
7840,2026-08-18 17:58:42.344172+00,left_join,3,0.6377471350827433,5,492813,49,t,,3
7841,2026-08-18 17:58:42.344172+00,null_handling,0,0.748571779061707,7,492813,49,t,,3
7842,2026-08-18 17:59:01.4996+00,where_filter,1,0.9999998564855733,25,492814,3785,t,,1
7843,2026-08-18 17:59:01.4996+00,order_by,1,0.9999993955944187,22,492814,3785,t,,1
7844,2026-08-18 17:59:01.4996+00,inner_join,3,0.995875225038884,12,492814,3785,t,,1
7845,2026-08-18 17:59:01.4996+00,explain_plan,6,0.9227244409317031,3,492814,3785,t,,1
7846,2026-08-18 17:59:20.690802+00,where_filter,1,0.999999058187707,26,492815,81,f,explain_submitted,1
7847,2026-08-18 17:59:20.690802+00,order_by,1,0.9999960336084505,23,492815,81,f,explain_submitted,1
7848,2026-08-18 17:59:20.690802+00,index_usage,6,0.10782608695652175,1,492815,81,f,explain_submitted,1
7849,2026-08-18 17:59:39.574532+00,where_filter,1,0.9999998208507996,27,492816,81,t,,2
7850,2026-08-18 17:59:39.574532+00,order_by,1,0.9999992455211673,24,492816,81,t,,2
7851,2026-08-18 17:59:39.574532+00,index_usage,6,0.5560576923076923,2,492816,81,t,,2
7852,2026-08-18 18:00:00.629842+00,where_filter,1,0.9999988243351365,28,492817,3782,f,plan_mismatch,1
7853,2026-08-18 18:00:00.629842+00,order_by,1,0.9999950487639458,25,492817,3782,f,plan_mismatch,1
7854,2026-08-18 18:00:00.629842+00,index_usage,6,0.2554337763177542,3,492817,3782,f,plan_mismatch,1
7855,2026-08-18 18:00:19.340367+00,where_filter,1,0.9999997763679052,29,492818,3782,t,,2
7856,2026-08-18 18:00:19.340367+00,order_by,1,0.9999990581853981,26,492818,3782,t,,2
7857,2026-08-18 18:00:19.340367+00,index_usage,6,0.7701761681381486,4,492818,3782,t,,2
7858,2026-08-18 18:00:38.594209+00,where_filter,1,0.9999985324171262,30,492819,3783,f,explain_submitted,1
7859,2026-08-18 18:00:38.594209+00,order_by,1,0.9999938193904261,27,492819,3783,f,explain_submitted,1
7860,2026-08-18 18:00:38.594209+00,index_usage,6,0.42253146519205576,5,492819,3783,f,explain_submitted,1
7861,2026-08-18 18:00:59.216101+00,where_filter,1,0.9999997208399158,31,492820,3783,t,,2
7862,2026-08-18 18:00:59.216101+00,order_by,1,0.9999988243352784,28,492820,3783,t,,2
7863,2026-08-18 18:00:59.216101+00,index_usage,6,0.875336189014336,6,492820,3783,t,,2
7864,2026-08-18 18:01:18.418432+00,select_basic,1,0.9999992034161657,17,492821,2,t,,1
7865,2026-08-18 18:01:18.418432+00,left_join,3,0.9436241150299581,6,492821,2,t,,1
7866,2026-08-18 18:01:18.418432+00,null_handling,0,0.9444357711079815,8,492821,2,t,,1
7867,2026-08-18 18:01:37.793575+00,full_outer_join,3,0.3781818181818182,1,492822,41,t,,1
7868,2026-08-18 18:01:37.793575+00,null_handling,0,0.9896757350008777,9,492822,41,t,,1
7869,2026-08-18 18:01:58.801332+00,group_by,2,0.9995847646035185,21,492823,42,t,,1
7870,2026-08-18 18:01:58.801332+00,full_outer_join,3,0.8541232227488151,2,492823,42,t,,1
7871,2026-08-18 18:01:58.801332+00,null_handling,0,0.9981497173715722,10,492823,42,t,,1
7872,2026-08-18 18:02:18.006633+00,in_subquery,5,0.30755767700875103,2,492824,75,f,wrong_columns,1
7873,2026-08-18 18:02:18.006633+00,null_handling,0,0.9883096049225806,11,492824,75,f,wrong_columns,1
7874,2026-08-18 18:02:36.730583+00,in_subquery,5,0.24208005660017962,3,492825,75,f,wrong_columns,2
7875,2026-08-18 18:02:36.730583+00,null_handling,0,0.9308409479925444,12,492825,75,f,wrong_columns,2
7876,2026-08-18 18:02:57.258413+00,in_subquery,5,0.6717682810960188,4,492826,75,t,,3
7877,2026-08-18 18:02:57.258413+00,null_handling,0,0.9870061112902998,13,492826,75,t,,3
7878,2026-08-18 18:03:16.50807+00,scalar_subquery,5,0.9761759432864826,3,492827,76,t,,1
7879,2026-08-18 18:03:16.50807+00,in_subquery,5,0.9216441160466555,5,492827,76,t,,1
7880,2026-08-18 18:03:51.818359+00,select_basic,1,0.9999998484758131,18,492828,7,t,,1
7881,2026-08-18 18:03:51.818359+00,from_clause,1,0.9869626788891858,5,492828,7,t,,1
7882,2026-08-18 18:04:11.468999+00,select_basic,1,0.9999999711774612,19,492829,8,t,,1
7883,2026-08-18 18:04:11.468999+00,from_clause,1,0.9974963032627479,6,492829,8,t,,1
7884,2026-08-18 18:04:30.909656+00,select_basic,1,0.9999999945174518,20,492830,9,t,,1
7885,2026-08-18 18:04:30.909656+00,from_clause,1,0.9995228833901416,7,492830,9,t,,1
7886,2026-08-18 18:04:30.909656+00,order_by,1,0.9999997763679321,29,492830,9,t,,1
7887,2026-08-18 18:04:50.524324+00,select_basic,1,0.9999999640207792,21,492831,13,f,row_mismatch,1
7888,2026-08-18 18:04:50.524324+00,where_filter,1,0.9999981680162308,32,492831,13,f,row_mismatch,1
7889,2026-08-18 18:04:50.524324+00,order_by,1,0.9999985324173033,30,492831,13,f,row_mismatch,1
7890,2026-08-18 18:05:11.119169+00,select_basic,1,0.9999999931561263,22,492832,13,t,,2
7891,2026-08-18 18:05:11.119169+00,where_filter,1,0.9999996515243617,33,492832,13,t,,2
7892,2026-08-18 18:05:11.119169+00,order_by,1,0.9999997208399496,31,492832,13,t,,2
7893,2026-08-18 18:05:32.370901+00,select_basic,1,0.9999999550870815,23,492833,14,f,row_mismatch,1
7894,2026-08-18 18:05:32.370901+00,where_filter,1,0.9999977131352975,34,492833,14,f,row_mismatch,1
7895,2026-08-18 18:05:32.370901+00,order_by,1,0.9999981680164522,32,492833,14,f,row_mismatch,1
7896,2026-08-18 18:05:51.044383+00,select_basic,1,0.9999997052590832,24,492834,14,f,row_mismatch,2
7897,2026-08-18 18:05:51.044383+00,where_filter,1,0.9999849927378164,35,492834,14,f,row_mismatch,2
7898,2026-08-18 18:05:51.044383+00,order_by,1,0.999987977792423,33,492834,14,f,row_mismatch,2
7899,2026-08-18 18:06:11.615335+00,select_basic,1,0.9999999439351396,25,492835,14,t,,3
7900,2026-08-18 18:06:11.615335+00,where_filter,1,0.9999971453265375,36,492835,14,t,,3
7901,2026-08-18 18:06:11.615335+00,order_by,1,0.9999977131470148,34,492835,14,t,,3
7902,2026-08-18 18:06:31.334264+00,group_by,2,0.9999261565254065,22,492836,37,t,,1
7903,2026-08-18 18:06:31.334264+00,having_filter,2,0.9833245873549618,4,492836,37,t,,1
7904,2026-08-18 18:06:31.334264+00,agg_sum_avg,2,0.9871922897994938,14,492836,37,t,,1
7905,2026-08-18 18:06:51.026742+00,group_by,2,0.9999868715171646,23,492837,38,t,,1
7906,2026-08-18 18:06:51.026742+00,having_filter,2,0.9969965278675222,5,492837,38,t,,1
7907,2026-08-18 18:06:51.026742+00,agg_count,2,0.9952691863761303,12,492837,38,t,,1
7908,2026-08-18 18:06:51.026742+00,agg_sum_avg,2,0.9977001638033985,15,492837,38,t,,1
7909,2026-08-18 18:07:10.737257+00,agg_count,2,0.9991558604370214,13,492838,20,t,,1
7910,2026-08-18 18:07:32.290822+00,agg_count,2,0.9998498321512087,14,492839,21,t,,1
7911,2026-08-18 18:07:32.290822+00,left_join,3,0.9937183161631071,7,492839,21,t,,1
7912,2026-08-18 18:07:32.290822+00,null_handling,0,0.9976663910533181,14,492839,21,t,,1
7913,2026-08-18 18:07:51.936596+00,order_by,1,0.9999849928147081,35,492840,22,f,wrong_columns,1
7914,2026-08-18 18:07:51.936596+00,group_by,2,0.9999159854307402,24,492840,22,f,wrong_columns,1
7915,2026-08-18 18:07:51.936596+00,agg_count,2,0.9990399349640438,15,492840,22,f,wrong_columns,1
7916,2026-08-18 18:08:10.584617+00,order_by,1,0.999997145341164,36,492841,22,t,,2
7917,2026-08-18 18:08:10.584617+00,group_by,2,0.9999850631005294,25,492841,22,t,,2
7918,2026-08-18 18:08:10.584617+00,agg_count,2,0.999829194227769,16,492841,22,t,,2
7919,2026-08-18 18:08:32.133792+00,distinct,1,0.7254333144876067,3,492842,23,f,execution_error,1
7920,2026-08-18 18:08:32.133792+00,group_by,2,0.9999044138377142,26,492842,23,f,execution_error,1
